21	1
36	1
51	1
28	1
68	1
13	1
27	1
65	1
128	1
116	1
110	1
49	1
91	1
71	1
61	1
15	1
87	1
75	1
73	1
38	1
56	1
52	1
79	1
32	1
46	1
86	1
33	1
25	1
99	1
88	1
96	1
58	1
44	1
105	1
6	1
111	1
5	1
115	1
108	1
18	1
17	1
31	1
81	1
42	1
22	1
64	1
7	1
103	1
10	1
23	1
53	1
104	1
1	1
45	1
78	1
107	1
121	1
66	1
112	1
97	1
62	1
101	1
126	1
120	1
83	1
57	1
26	1
54	1
14	1
127	1
85	1
50	1
20	1
39	1
2	1
29	1
11	1
37	2
59	2
84	2
68	2
13	2
9	2
16	2
65	2
116	2
128	2
49	2
93	2
76	2
82	2
12	2
92	2
90	2
60	2
75	2
73	2
24	2
38	2
106	2
70	2
55	2
98	2
48	2
52	2
63	2
100	2
41	2
32	2
86	2
46	2
33	2
88	2
47	2
125	2
117	2
3	2
99	2
25	2
95	2
44	2
69	2
94	2
8	2
72	2
114	2
111	2
115	2
108	2
102	2
34	2
42	2
64	2
80	2
30	2
74	2
119	2
103	2
10	2
124	2
123	2
89	2
109	2
113	2
77	2
78	2
121	2
43	2
35	2
101	2
83	2
57	2
40	2
54	2
127	2
85	2
50	2
122	2
19	2
2	2
29	2
67	2
11	2
118	2
115	3
84	3
102	3
51	3
108	3
68	3
18	3
17	3
13	3
42	3
116	3
49	3
76	3
80	3
64	3
30	3
119	3
82	3
23	3
71	3
61	3
124	3
12	3
89	3
113	3
109	3
60	3
90	3
92	3
78	3
38	3
43	3
56	3
106	3
70	3
98	3
48	3
97	3
52	3
63	3
100	3
57	3
26	3
41	3
127	3
46	3
86	3
85	3
47	3
99	3
25	3
117	3
50	3
44	3
69	3
122	3
29	3
2	3
8	3
4	3
11	3
114	3
101	4
33	4
